"Brnd_Name","Year","Tot_Spndng"
Arestin,"2024 (Q1-Q4)",5134006.0
Arestin,"2025 (Q1-Q3)",3495857.8
Arexvy,"2024 (Q1-Q4)",774198336
Arexvy,"2025 (Q1-Q3)",250406128
Arformoterol Tartrate,"2024 (Q1-Q4)",5231595.0
Arformoterol Tartrate,"2025 (Q1-Q3)",4596167.0
Aricept,"2024 (Q1-Q4)",1183465.1
Aricept,"2025 (Q1-Q3)",822849.06
Arikayce,"2024 (Q1-Q4)",187063376
Arikayce,"2025 (Q1-Q3)",165121152
Arimidex,"2024 (Q1-Q4)",3538425.2
Arimidex,"2025 (Q1-Q3)",2362289.2
Aripiprazole,"2024 (Q1-Q4)",245290112
Aripiprazole,"2025 (Q1-Q3)",151922640
Aripiprazole ODT,"2024 (Q1-Q4)",8155082.0
Aripiprazole ODT,"2025 (Q1-Q3)",4501436.0
Aristada,"2024 (Q1-Q4)",269076000
Aristada,"2025 (Q1-Q3)",198882320
Aristada Initio,"2024 (Q1-Q4)",3041926.5
Aristada Initio,"2025 (Q1-Q3)",2140968.0
Arixtra,"2024 (Q1-Q4)",211072.06
Arixtra,"2025 (Q1-Q3)",107829.42
Armodafinil,"2024 (Q1-Q4)",8807445.0
Armodafinil,"2025 (Q1-Q3)",7276342.0
Armonair Digihaler,"2024 (Q1-Q4)",335851.16
Armour Thyroid,"2024 (Q1-Q4)",24806720
Armour Thyroid,"2025 (Q1-Q3)",19614248
Arnuity Ellipta,"2024 (Q1-Q4)",199856128
Arnuity Ellipta,"2025 (Q1-Q3)",161085456
Aromasin,"2024 (Q1-Q4)",1165162.9
Aromasin,"2025 (Q1-Q3)",703241.7
Arthrotec 50,"2024 (Q1-Q4)",146593.31
Arthrotec 50,"2025 (Q1-Q3)",111034.89
Arthrotec 75,"2024 (Q1-Q4)",491894.03
Arthrotec 75,"2025 (Q1-Q3)",334965.34
Asa-Butalb-Caffeine-Codeine,"2024 (Q1-Q4)",1421588.1
